Back to Content
Table E1.
Selected stars from GDR2 catalogue. They are compatible with a phase-space density model of the tidal stream of M68 and with its HR-diagram. GDR2 does not provide radial velocity for any of these stars.
N	source_id	π	δ	α	μδ	μα*	GBP − GRP	G	χsel
(mas)	(deg)	(deg)	(mas yr−1)	(mas yr−1)	(mag)	(mag)	
1	3496364826490984832	0.0666	−26.9401	189.5268	1.7746	−2.7097	1.1689	14.0009	7.9446E+02
2	3496397262084464128	0.2211	−26.6147	190.1435	1.7706	−2.7786	0.9929	16.4954	3.8387E+01
3	6133483847268997632	0.1142	−44.0194	190.4956	1.0431	−2.0908	0.8980	17.6564	2.2383E+00
4	3496359908751562496	−0.1533	−27.0259	189.6791	1.5048	−2.5199	0.7139	18.5297	1.8531E+00
5	6129336321904932224	0.0825	−45.8545	191.0678	1.1946	−2.3981	0.9346	18.3756	1.6943E+00
6	3496403270742208768	−0.0047	−26.5809	190.1661	1.5555	−2.4028	0.6775	18.9026	1.6537E+00
7	3496413819180463616	0.2016	−26.8035	189.4730	1.3666	−2.5346	0.7607	18.3398	1.6298E+00
8	6128205985298801408	0.1692	−47.5466	191.4542	1.0899	−2.1682	0.9766	17.2226	1.5785E+00
9	6153341199065073536	0.1632	−38.9526	189.3009	1.4558	−2.7846	0.9022	16.9682	1.4216E+00
10	3496363825761763840	0.2272	−26.9772	189.5723	1.7695	−2.7182	0.6242	19.4263	9.9037E−01
11	3496426983257641216	0.2179	−26.5627	189.5454	1.6971	−2.5965	1.0683	15.4868	9.6922E−01
12	3496351250097506816	0.3829	−27.0117	190.0502	1.6874	−2.8738	0.9253	17.7917	9.5428E−01
13	3496465702385628928	−0.0691	−26.3824	189.6310	1.5405	−2.5617	0.9822	17.0284	9.2144E−01
14	3496383857489983232	0.4248	−26.6971	190.2375	1.6487	−2.7174	0.6725	18.9987	8.5381E−01
15	3496417912286695936	0.2415	−26.7512	189.3964	1.2602	−2.3346	0.9350	17.7570	7.2085E−01
16	3496385266239278976	−0.2349	−26.6352	190.1922	1.5076	−2.2656	0.6959	19.0733	6.7434E−01
17	3692120708467214208	0.0521	+2.0591	194.8744	3.2952	−2.4461	0.8598	16.7081	5.9697E−01
18	3496354101955858432	−0.0606	−26.9265	190.1141	0.9713	−2.3555	0.6465	18.9647	5.5831E−01
19	1606236095606481280	0.1245	+54.2566	223.1041	5.1230	1.2085	0.5928	17.4589	2.5816E−01
20	1458389959637031296	0.1198	+33.0455	206.2680	5.4940	−0.7652	0.5769	17.4817	1.9672E−01
21	3677284104720388224	−0.0056	−6.5245	193.5543	2.6362	−2.3346	0.6176	17.7979	1.5302E−01
22	3730942295084892928	−0.0484	+8.7147	197.5589	3.9250	−2.5897	0.6311	18.0954	1.2550E−01
23	1455844345403174016	0.2761	+29.3251	204.2349	5.3560	−1.2723	0.6308	18.3614	1.1934E−01
24	3691856546503440128	0.1471	+1.7067	195.5511	3.4746	−2.1421	0.6608	18.8550	1.1440E−01
25	3675964587688060416	0.1004	−6.6935	192.9816	2.7575	−2.4202	0.6885	18.3793	1.1291E−01
26	1456842495802767744	0.1670	+32.3278	205.7151	5.3068	−0.7095	0.5872	17.3960	1.0621E−01
27	3678259474613592960	0.3630	−4.1679	195.2089	3.1499	−2.9547	0.8179	17.1344	1.0476E−01
28	3729366935440429952	0.2786	+6.2290	195.7788	3.5696	−2.4608	0.6158	17.9548	1.0185E−01
29	3678958794072858112	0.4306	−4.2433	193.8940	3.0850	−2.5129	0.6187	17.7100	9.4803E−02
30	3938507382917888512	0.2424	+17.7672	199.7684	4.2657	−1.4890	0.6077	17.5658	7.7959E−02
31	3730306639925232384	0.1831	+7.2101	196.3747	3.9700	−2.0812	0.6286	18.4781	7.5430E−02
32	3736013929907004928	0.1335	+11.2735	197.5279	4.4459	−2.2741	0.6227	18.8557	6.9948E−02
33	1504696231140527232	0.4210	+43.8973	212.8308	5.5413	−0.1608	0.6686	18.3991	6.9580E−02
34	3686001101624868352	0.1303	−1.1354	195.9989	3.2547	−2.3681	0.6370	17.5221	6.0207E− 02
35	1605773136787896320	0.0124	+52.9402	221.9906	5.0068	1.4966	0.6926	18.9247	4.8143E−02
36	3731064894927486976	0.1237	+8.6340	196.1463	4.2136	−3.0731	0.5780	18.0480	4.5961E−02
37	1455852248142764288	0.1545	+29.4651	204.2691	5.1368	−0.8114	0.6936	18.4129	4.5207E−02
38	3677590211334628992	−0.1124	−5.6794	193.4493	2.8830	−2.1745	0.6168	18.0113	4.4703E−02
39	3677713562794613504	0.4733	−5.2572	193.5804	2.8342	−2.1752	0.7574	19.3068	4.3766E−02
40	1600425932567734784	0.1829	+55.3254	226.6320	4.7296	1.8281	0.7136	18.7518	4.2661E−02
41	1603928701735870336	0.1355	+50.4873	219.6809	4.9731	0.6445	0.6951	18.5037	4.2338E−02
42	3736784721917729152	0.2377	+12.7628	198.6407	3.8432	−1.5178	0.6232	18.2278	4.0618E−02
43	3939089398230332928	0.0781	+19.1721	200.8586	4.4500	−1.3995	0.6745	18.6470	4.0158E−02
44	1634945752956687104	0.1780	+64.8292	251.4316	3.1381	3.8373	0.8572	16.9145	3.8506E−02
45	1505103084803276160	0.2284	+44.9951	213.9660	5.4822	0.4941	0.7598	19.2384	3.5483E−02
46	3736463664522214656	0.0303	+11.7794	198.7358	4.2984	−1.6778	0.6700	18.6768	3.4229E−02
47	1506844779940816384	0.2853	+46.7914	214.8890	5.2314	0.5913	0.6458	18.2705	3.4038E−02
48	3729915076346434304	0.4170	+7.1123	197.1414	3.5768	−2.1621	0.7025	18.5110	3.3254E−02
49	3678969243729036032	0.2682	−4.1958	193.5954	3.3351	−2.5662	0.9471	16.8203	3.2393E−02
50	3690547165593837312	0.1666	+1.4787	193.0467	3.3546	−2.8934	0.6077	17.5944	3.1051E−02
51	1496589879802806528	0.1163	+39.0498	207.1911	5.9647	−0.7894	0.6743	16.7684	3.0905E− 02
52	1496266863902585728	0.2228	+39.5427	209.3919	5.2231	−0.2448	0.5933	18.2511	2.9648E−02
53	1496030911283208576	0.1392	+39.1041	210.2471	5.4324	−0.0120	0.6456	18.4847	2.8611E− 02
54	1498889611451314816	−0.0300	+41.4624	209.2182	5.9579	−0.4318	0.6810	18.5142	2.7590E−02
55	1604273437287099776	−0.0990	+51.4980	219.8012	5.3673	1.3525	0.8035	19.4194	2.7511E−02
56	3678292459962501376	0.3620	−3.8740	195.7269	3.2026	−2.6585	0.8230	17.6250	2.6342E−02
57	3685425060611225472	0.4647	−2.5588	194.5278	3.5328	−2.2110	0.6830	19.2702	2.6098E−02
58	3731172780210011264	0.0096	+8.9611	196.7009	3.6435	−2.8289	0.6399	19.2347	2.5511E−02
59	3678889254257425664	0.1613	−4.5256	194.3135	3.6767	−2.3650	0.6577	18.3852	2.4068E−02
60	1605598138344043904	0.1489	+52.1831	221.9488	4.8273	1.6527	0.8305	19.4252	2.3852E−02
61	3690382170130121984	0.1339	+1.3929	194.3795	3.2183	−2.9074	0.6628	19.0984	2.2914E−02
62	1456411624683879296	0.1173	+30.7712	205.5668	4.9705	−0.8631	0.6354	18.8292	2.2258E−02
63	1442304443823114752	0.4577	+21.0880	201.0665	5.2465	−1.7063	0.7897	19.1160	2.1508E−02
64	3744325138301094784	0.1423	+15.3030	200.4737	4.3564	−1.8696	0.8476	19.0354	2.0853E−02
65	3688452737676950400	0.3545	−2.2653	194.0000	3.0246	−2.2345	0.7619	16.7977	2.0055E−02
66	1603533873982622592	0.2436	+49.9313	219.0180	5.1240	0.7174	0.8574	19.8819	1.9860E−02
67	3702709520838936064	0.2749	+2.3905	194.0326	3.2250	−2.2645	0.5742	18.0258	1.9167E− 02
68	3940514399659927296	0.0898	+20.9339	199.6473	4.4686	−1.9810	0.6312	18.0733	1.9045E−02
69	1606249122242914688	0.2103	+53.9305	224.3375	4.6520	1.2271	0.6511	17.3305	1.6830E−02
70	1629009390895385728	0.2782	+63.7497	246.4188	3.5416	3.2517	0.7459	16.6089	1.5032E−02
71	1448109899577010688	0.2991	+25.9842	203.5458	5.1577	−1.6772	0.8423	19.6347	1.4980E−02
72	3690318879491794816	0.7154	+1.0770	194.9856	3.2560	−1.1810	0.6733	19.3076	1.4842E−02
73	3692071982062671872	0.0273	+2.6639	195.8328	3.9871	−2.3096	0.6086	19.0058	1.4675E−02
74	1504902668745341568	0.2623	+44.7623	214.4142	6.1911	−0.1412	0.7564	19.2867	1.4605E−02
75	3691940624783331968	−0.2046	+1.9962	195.6238	3.6968	−3.8815	0.7665	19.9206	1.4019E−02
76	1606240768531075840	0.0999	+53.7979	224.1231	5.4837	1.5892	0.7981	19.9199	1.3801E−02
77	1635385046508786432	0.1401	+65.3460	254.9531	2.5866	3.8704	0.8620	15.9535	1.3366E−02
78	3744739963422459648	0.2229	+16.8007	199.5876	4.9930	−1.5486	0.8518	19.3988	1.3101E−02
79	3939039542249768704	−0.2004	+18.7968	200.7388	5.1992	−1.9285	0.7052	18.9435	1.2349E−02
80	1602451748381843840	0.2900	+57.0243	230.1132	5.3363	1.4649	0.6810	18.9183	1.2198E−02
81	1454872239685951232	0.2356	+28.8703	206.4059	5.3194	−1.1628	0.6408	18.4768	1.1805E−02
82	3688651916785064320	0.4148	−1.1125	195.0655	3.1597	−3.1376	0.8037	19.7906	1.1723E−02
83	1448864714313741184	0.3428	+27.5361	203.2331	4.9445	−0.8370	0.6315	18.3315	1.1234E−02
84	2257502327664371328	0.2131	+65.4879	273.9369	1.0117	3.3762	0.8663	17.0513	1.1005E−02
85	1495975420305337728	0.2719	+38.5514	209.8212	5.6724	−0.9194	0.8382	19.4064	1.0926E−02
