Back to Content
Table C1.
List of candidate stream member stars from the GDR2 catalogue, having passed all our 7 cuts. They are compatible with the best-fitting phase-space density model of the tidal stream of NGC 3201 and its H–R diagram from GDR2 after dust extinction correction.
N	source_id	π	δ	α	μδ	μα*	GBP − GRP	G	χsel
(mas)	(deg)	(deg)	(mas yr−1)	(mas yr−1)	(mag)	(mag)	(yr3 deg−2 pc−1 mas−3)
1	85111820717084288	0.1651	+20.1781	42.2098	−7.9041	9.1652	0.8645	17.6426	8.1257E–02
2	85463664437883264	0.4112	+21.1340	42.5690	−7.1268	8.0718	1.1816	18.7109	5.3786E–02
3	85259674966320512	0.1913	+20.9929	42.8676	−7.1869	8.2032	1.2189	18.1123	2.9994E–01
4	34258896831609984	0.1405	+16.3693	45.1634	−9.6897	10.4887	0.9566	17.5377	5.3842E–02
5	35721109857582464	0.3439	+18.4065	45.9215	−9.1765	9.7779	1.0528	18.0348	6.4986E–02
6	60185926474933632	0.1295	+20.1024	46.0006	−7.6207	8.4273	0.8544	18.1997	5.3196E–02
7	34901557082616576	0.1467	+18.1273	46.4329	−9.8855	10.5074	0.7827	17.6309	6.2463E–02
8	58640189220402432	0.0641	+17.6070	47.2249	−9.7492	10.2046	0.8839	17.2243	2.0020E–01
9	31456447850977536	0.2736	+16.1339	47.4120	−9.7023	10.2854	1.1301	16.8443	2.1423E–01
10	31185242140302080	0.2541	+15.7169	48.4324	−10.1471	10.2482	0.9355	18.2953	8.7513E–02
11	55510772969455232	−0.0189	+17.0169	48.7138	−10.3461	10.9882	1.1011	16.5356	7.4714E–02
12	54919579310541568	0.2956	+16.7824	51.1901	−10.6029	10.7765	0.8089	17.7362	6.3037E–02
13	37334471374125696	0.1933	+11.8852	55.9878	−12.2495	12.5768	1.3554	17.3445	4.3200E–02
14	36354359837010816	0.2640	+10.6748	56.0746	−13.0978	13.3644	0.9893	18.5810	2.0527E–02
15	3302763471907603840	0.2579	+10.0905	57.2163	−15.0372	14.6607	0.9197	17.4677	2.7800E–02
16	3302347405538192768	0.1123	+9.0186	57.5283	−14.6794	13.5157	0.9866	18.1334	7.7986E–03
17	3302517627978790784	0.2305	+9.7887	58.3446	−13.4025	13.6600	0.8746	17.0933	1.1627E–02
18	3273949498390088448	0.2311	+6.2544	58.3769	−15.6878	15.0130	0.9952	17.1423	7.7895E–03
19	3259376124600082688	0.0439	+2.7632	63.5494	−18.0006	16.5966	1.0363	16.9342	1.0527E–02
20	3283413643508855168	0.4116	+3.2175	63.9090	−17.6916	16.5187	0.8983	18.2204	4.3555E–02
21	3283707732806011776	0.2904	+3.8795	66.0409	−16.9729	16.1823	1.0192	16.8527	7.6543E–03
22	3278904202725707776	0.4538	+0.6731	66.8839	−18.0428	16.9354	0.8860	18.3811	2.6335E–02
23	3205031181848570240	0.3451	−2.6066	69.8346	−19.8285	19.0347	0.6952	17.5299	6.7108E–03
24	3229172192289896576	0.5220	−1.8187	69.8390	−20.3993	19.0081	0.9991	19.1580	6.6485E–03
25	3225714404316322048	0.5186	−3.3168	72.0153	−20.3162	19.3406	0.9340	17.5908	1.3595E–02
26	3225088713480594304	0.1847	−3.0706	72.5461	−20.7489	19.8459	0.9562	15.6898	1.7710E–02
27	3188312385993123968	0.2624	−6.0464	72.9310	−23.3288	22.2830	0.7262	17.4658	7.0712E–03
28	3225017378367519232	0.1945	−3.3841	72.9781	−21.1877	20.1364	0.7722	18.1341	2.3440E–02
29	3212479479773005696	0.2639	−5.2492	73.6805	−22.6205	21.5271	0.6668	17.0226	2.9807E–02
30	3187421678493781888	0.3710	−6.0663	74.5026	−21.6876	20.4548	0.7595	17.7014	1.1591E–01
