Back to Content
Table B1.
Stars compatible with the best-fitting phase-space density model of the tidal stream of Palomar 5 and its H-R diagram from GDR2 after dust extinction correction.
N	source_id	π	δ	α	μδ	μα*	GBP − GRP	G	χsel
(mas)	(deg)	(deg)	(mas yr−1)	(mas yr−1)	(mag)	(mag)	(yr3 deg−2 pc−1 mas−3)
1	6327240546525053824	−0.1349	−8.1333	222.5158	−2.4483	−2.4054	1.0417	17.5562	5.9454E  + 00
2	6327454916932476800	−0.0426	−7.9192	222.6962	−2.4659	−2.3107	1.0067	17.8507	8.2674E  + 00
3	6333632175119962368	0.1395	−6.8635	223.3798	−2.4777	−2.6496	0.9335	19.4622	5.6500E  + 00
4	6333638840909351808	0.3333	−6.7025	223.7207	−2.6044	−2.5148	1.0312	17.8252	1.3563E  + 01
5	6334133694157081856	0.0026	−5.8463	223.8334	−2.3926	−2.7662	1.1181	17.5348	1.2756E  + 01
6	6337139376694381440	−0.1242	−5.6805	223.9155	−2.4263	−2.7577	0.9366	17.4458	4.8662E  + 00
7	6334151110248964224	0.0510	−5.6672	224.4260	−3.1251	−2.0798	1.0594	18.7005	1.4053E  + 01
8	6334300162794237184	0.5529	−5.0987	224.7233	−2.7727	−1.9366	1.0851	19.0335	6.7220E  + 00
9	6338851453738047488	0.1009	−4.2145	224.9720	−2.6403	−2.1383	1.0813	18.4176	9.9368E  + 00
10	6334298169929419392	0.1771	−5.0869	224.9823	−2.4609	−2.7599	1.0623	18.1751	6.6524E  + 00
11	6338874990158885376	0.1463	−4.1744	225.0625	−2.7762	−2.3852	1.0872	17.7758	3.4422E  + 01
12	6338879564298848640	−0.0324	−4.0963	225.3011	−2.4097	−1.2524	1.1311	18.9155	4.8295E  + 00
13	6338859562636251904	0.2195	−4.2534	225.3258	−2.5176	−1.7848	1.1024	18.0456	3.3353E  + 01
14	6338880487717174528	0.0521	−4.0583	225.4573	−2.3537	−3.1365	1.1220	17.6939	1.0366E  + 01
15	6338869149003524224	−0.0925	−4.0479	225.5377	−3.0576	−2.0272	1.0265	19.2443	2.1193E  + 01
16	6339016002525065472	0.0639	−3.5563	225.7535	−2.3171	−3.4270	1.1729	19.0526	5.8216E  + 00
17	6338987758819995776	−0.1428	−3.6964	225.7778	−2.4940	−2.3050	1.1700	18.7510	8.4701E  + 01
18	6339017823591238400	0.0527	−3.5147	225.8524	−2.6521	−3.2807	1.3766	20.0483	7.4983E  + 00
19	6339403580374320896	0.2071	−3.2162	226.1388	−2.8443	−2.8832	1.1255	19.7879	5.9449E  + 00
20	6339405195282047232	0.3347	−3.1899	226.1702	−1.9488	−2.9943	1.1956	17.8007	7.7164E  + 00
21	6339486112465206528	0.2516	−2.9349	226.3743	−2.9628	−2.5859	1.1431	18.1520	2.8470E  + 01
22	6339492091059869696	0.1419	−2.7626	226.4066	−1.7571	−2.2625	1.0337	19.6753	5.6089E  + 00
23	6339498589346000768	−0.0427	−2.7155	226.4922	−2.9333	−2.4861	0.5547	17.4368	8.3411E  + 00
24	6339607745939180928	0.2627	−2.2781	226.9747	−1.9119	−2.3462	0.9989	19.5513	1.8167E  + 01
25	6339642724153085056	−0.4911	−1.9832	227.2439	−2.5559	−3.2388	0.7922	19.9143	5.0767E  + 00
26	6339639666136263040	−0.2089	−2.0898	227.2613	−2.4832	−2.1312	0.8322	17.1603	1.3918E  + 02
27	4418107238191732352	−0.0317	−1.9491	227.3442	−3.2361	−2.4779	0.7086	20.1749	5.3026E  + 00
28	4418156892309715456	0.0184	−1.5275	227.7144	−2.7810	−2.9716	0.9151	18.6426	1.2555E  + 01
29	4418142117622280192	−0.2247	−1.6319	227.7547	−2.2909	−2.6730	0.5875	17.3171	8.1503E  + 00
30	4418143968756451968	0.1305	−1.5872	227.8667	−2.7425	−2.7935	0.9761	19.4101	5.1128E  + 00
31	4418261930029664256	0.1726	−1.2314	227.9615	−2.4465	−2.4811	0.8722	17.4131	3.7794E  + 02
32	4418265022406118784	0.1443	−1.2007	227.9690	−2.5811	−2.7873	1.1245	17.1479	1.0070E  + 01
33	4418300339922183040	−0.2577	−0.9056	228.2730	−1.2246	−2.4189	1.1503	19.2080	5.7784E  + 00
34	4418296800869119488	−0.0699	−0.9458	228.3485	−2.5452	−2.5164	1.0382	18.2234	9.5543E  + 01
35	4418305219004364416	0.0308	−0.8191	228.4767	−2.3525	−3.1096	1.0936	18.2519	2.0354E  + 01
36	4418876999410407808	0.1810	−0.5154	228.4965	−2.6434	−2.8694	1.0682	18.4087	5.3204E  + 00
37	4418292299742718336	0.2783	−0.8791	228.5547	−3.1739	−2.0598	1.2035	18.9636	4.8350E  + 00
38	4418688536245813888	0.0397	−0.5523	228.5716	−2.8887	−2.5161	1.0884	17.9491	8.2213E  + 00
39	4418306490314700416	−0.0735	−0.7719	228.5788	−2.9618	−2.6038	1.0582	18.5771	1.1654E  + 01
40	4418306387235478784	0.0103	−0.7888	228.5841	−2.9801	−2.6432	1.1172	18.7119	1.0503E  + 01
41	4418306490314700288	0.0571	−0.7728	228.5863	−2.6047	−2.1894	1.1371	17.5508	1.8540E  + 02
42	4418307899063987584	0.4335	−0.7168	228.6229	−1.9881	−2.0470	0.9793	19.0673	1.4992E  + 01
43	4418687161856244096	−0.0988	−0.6207	228.6410	−2.4472	−2.8298	0.7099	17.1817	4.8383E  + 00
44	4418889815592901248	0.0445	−0.2970	228.6474	−2.2003	−2.2111	1.0924	17.7308	1.2297E  + 02
45	4418683485364220160	0.4711	−0.6612	228.6626	−2.3617	−3.3018	1.0654	19.4714	5.8224E  + 00
46	4418696404625960448	−0.5780	−0.4148	228.8240	−2.7140	−1.9526	0.7559	19.6628	6.0292E  + 00
47	4418692040939128832	0.2891	−0.5483	228.8315	−2.1215	−3.1551	1.1364	19.1036	8.0271E  + 00
48	4418698397490799232	−0.3326	−0.3732	228.9090	−2.4365	−1.7305	0.6510	20.0514	6.3760E  + 00
49	4418679396555391616	0.2885	−0.5816	228.9582	−2.5619	−2.6261	1.1009	18.5081	5.8196E  + 00
50	4418723583179057024	0.1416	−0.2626	228.9601	−2.5273	−2.7952	1.1119	17.4493	1.2010E  + 01
51	4418723583179058944	−0.0373	−0.2577	228.9661	−2.1354	−2.8744	1.0769	19.5808	9.7810E  + 00
52	4418693724566344192	0.3241	−0.4672	229.0063	−2.7870	−2.5274	1.1007	18.3871	4.6609E  + 00
53	4418926855391616000	−0.3033	+0.0552	229.0700	−2.0931	−2.7288	1.0322	19.2253	5.8788E  + 00
54	4418724923208864128	0.3599	−0.2139	229.0981	−3.3158	−2.1848	0.9962	19.1438	5.1160E  + 00
