# Milky Way rotation curve of Ou et al. 2024 (MNRAS 528, 693; Gaia DR3 + APOGEE, 19 radii 6.6-25.5 kpc), as supplied by the user on 2026-09-12; the vcirc_kms grid of
# conf/simulator/stream_agama_rnbody_ibata_m200c_v4.yaml (obs_r_grid: custom). Columns: R [kpc], V_c [km/s], e_V_c [km/s].
R,V_c,e_V_c
6.60,236.43,2.69
7.78,239.82,3.53
8.21,237.20,6.31
9.41,233.16,2.99
10.43,234.61,4.39
11.43,232.00,3.01
12.43,232.80,4.54
13.41,229.43,4.70
14.40,224.20,3.22
15.42,221.68,2.56
16.44,219.74,4.87
17.45,215.42,5.03
18.48,212.79,8.38
19.45,203.57,5.66
20.41,195.44,5.75
21.28,196.68,6.49
22.01,187.96,9.18
23.41,188.32,11.89
25.53,175.07,16.86
