# FILE: assets/terminal_velocity.csv
# Observed HI terminal velocity, first quadrant (McClure-Griffiths & Dickey 2016, VizieR J/ApJ/831/124).
# Binned to 2 deg, |sin l|>0.5 (l>=30 deg), sigma=6.2 km/s (Ibata et al. 2023). n_raw = raw points per bin.
l_deg,vterm_kms,sigma_kms,n_raw
31.0,113.67,6.2,31
33.0,107.16,6.2,30
35.0,101.03,6.2,31
37.0,93.33,6.2,31
39.0,89.82,6.2,31
41.0,79.18,6.2,30
43.0,75.71,6.2,31
45.0,71.22,6.2,31
47.0,70.21,6.2,31
49.0,69.24,6.2,30
51.0,68.42,6.2,31
53.0,64.28,6.2,31
55.0,50.48,6.2,31
57.0,45.97,6.2,31
59.0,42.65,6.2,30
61.0,38.55,6.2,31
63.0,34.12,6.2,31
65.0,27.52,6.2,31
67.0,21.87,6.2,15
